0
маховик-снятие/установка (при снятом сцеплении)
сальник первичного вала кпп замена (на снятой)
сцепление - снятие/установка
акб зарядка
акция осмотр
бак топливный - снятие/установка
"бампер передний, снятие/установка"
блок монтажный в салоне снятие/установка
втулка стабилизатора поперечной устойчивости (заднего) - замена
втулка стабилизатора поперечной устойчивости (переднего) - замена (1шт)
генератор - снятие/установка
"датчик abs, заменить"
датчик включения стоп сигналов снятие/установка
дезинфекция системы кондиционирования
диагностика двигателя
диагностика двигателя (эбу)
"диагностика подвески (осмотр ходовой части) внедорожники, бизнес класс"
диагностика подвески (осмотр ходовой части) малый класс
диагностика подвески (осмотр ходовой части) средний класс
диагностика течи масла.
диагностика ходовой части и рулевого управления
диагностика электросистемы
диск тормозной задний левый - снятие/установка
диски тормозные и колодки задние снятие/установка
замена воздушного фильтра
замена втулок стабилизатора перед
замена колодок стояночного тормоза
замена масла в г/у руля
замена масла в двигатель (масло клиента) не применять
замена опоры переднего амортизатора
замена сайлентблоков передних нижних рычагов
замена салонного фильтра с разборкой не применять
замена тормозной жидкости
замена шаровых опор
заправка uv красителя в систему кондиционирования
заправка кондиционера
заправка системы кондиционирования с проверкой на герметичность
защита картера - снятие/установка
защита картера снятие/установка
защита/пыльник днища - снятие/установка
кардан рулевой - снятие/установка
катушка (модуль) зажигания - снятие/установка
"коды неисправностей - считывание, удаление."
колодки тормозные (задняя ось) - заменить
колодки тормозные (передняя ось) - заменить
колодки тормозные передние легковые а/м снятие/установка
комплекс четырех колес (без стоимости грузов)
компьютерная диагностика
компьютерная диагностика электроных блоков
кондиционер - перезаправка
лампа ближнего света (правая) - замена
лампа противотуманной фары снятие/установка
масло в двигателе - замена
масло и масляный фильтр двигателя замена
масло моторное и масляный фильтр - замена
мойка кузова техническая
наконечник рулевой тяги (с одной стороны) заменить
направляющие суппорта - очистка
насос гидроусилителя - снятие/установка
натяжитель цепи или ремня снятие/установка
обслуживание тормозных механизмов задняя ось
обслуживание тормозных механизмов передняя ось
опора двигателя задняя снятие/установка
опора двигателя передняя снятие/установка
осмотр подвески
"осмотр ходовой части внедорожники, бизнес класс"
"осмотр ходовой части кроссовер, внедорожники, бизнес класс"
осмотр ходовой части средний класс
передний сальник коленчатого вала снятие/установка
поиск места утечки хладагента
поиск неисправностей электропроводки
проверка меток грм
проверка системы кондиционирования на герметичность
"проверка, регулировка уук"
прокладка клапанной крышки/крышка в сборе dohc снятие/установка
прокладка крышки головки блока цилиндров снятие/установка
промывка инжектора
раскрутка муфты рулевого наконечника за 1 шт
регулировка развал-схождение
регулировка уук
регулировка уук (развал-схождение) 1 ось кроссоверы
регулировка уук (развал-схождение) 2 оси кроссоверы
ремень привода грм - снятие/установка
сайлентблоки задних рычагов (2шт) заменить
свеча зажигания (все) снятие/установка
слесарные работы
слесарные работы (удаление заломанных болтов)
сложная правка литого диска (восьмерка)
стойка (левая) стабилизатора поперечной устойчивости (переднего) - замена
стойка (правая) стабилизатора поперечной устойчивости (переднего) - замена
сход-развал две оси
"схождение колес зад ось - регулировка (внедорожник, кроссовер)"
"схождение колес перед ось - регулировка (внедорожник, кроссовер)"
считывание кодов неисправностей с помощью диагностического сканера со сбросом накопителя ошибок
тормозные колодки заднего дискового тормоза снятие/установка
тормозные колодки переднего дискового тормоза снятие/установка
тяга рулевая - снятие/установка
фильтр воздушный двигателя снятие/установка
фильтр салона снятие/установка
диагностика подвески
задний тормозной диск (с одной стороны) снятие/установка
замена датчика кислорода (лямбда зонд)
замена стойки стабилизатора (зад)
замена стойки стабилизатора (пер)
замена троса ручного тормоза (к-т)
замена шруса внутреннего лев.
заправка кондиционера (работа)
клапанная крышка и прокладка - снятие/установка
коллектор выпускной - снятие/установка
колодка стояночного тормоза снятие/установка с обеих сторон
кронштейн и/или подушка передней опоры двигателя (снятие/установка
"моторное масло, замена/заправка"
наконечник рулевой тяги (с одной стороны) снятие/установка
нижний рычаг подвески (с одной стороны) снятие/установка
осмотр ходовой части малый класс
"охладитель или кондиционер, замена/заправка"
патрубок системы охлаждения - снятие/установка
подшипник передней ступицы прав. - замена
поиск неисправности в системе электрооборудования
приводной вал передней оси (левый) - снятие/установка
прокачка тормозов
прокладка поддона картера или герметик (поддон картера №1) снятие/установка
профессиональная проверка автомобиля
пыльник шруса наружный прав. - замена
развал колес зад ось - регулировка (легковой)
регулировка развал-схождение две оси
регулировка развал-схождение одна ось
регулировка уук (развал-схождение) 1 ось легковые а/м
регулятор давления топлива снятие/установка
ремонт электропроводки
ступица заднего колеса с подшипником левая снятие/установка
ступица перед. прав. колеса - снятие/установка
сход/развал две оси
схождение колес зад ось - регулировка (легковой)
схождение колес перед ось - регулировка (легковой)
"трубка тормозная ваз,газ замена"
цилиндр тормозной задний ваз/газ замена
шаровая опора (рычаг снят) снятие/установка
шина/диск (одно колесо) снятие/установка
шиномонтаж
шрус правого приводного вала (внутренний) снятие/установка
- балансировка колеса 1 шт.
- балансировка колеса 1шт.
абсорбер- снятие/установка
авто на эвакуаторе
авто привезли на эвакуаторе \мотор не запускается
автомобиль - проверка технического состояния автомобиля при подготовке к техосмотру
агрегатный ремень снятие/установка
адаптация акпп
адаптация дроссельной заслонки
адаптация стояночного тормоза
адаптация сцепления
адаптация электрических систем
адаптация электронного ручника после установки колодок
акб - замена
акб - зарядка
"акб - зарядка, проверка уровня, плотности, тест"
акб - снятие/установка
акб снятие/установка
аккумулятор - замена
аккумуляторная батарея (одна) снятие/установка
акпп диагностика
актуатор - замена
актуатор турбокомпресора
"амортизатор (задний ,правый) - замена"
"амортизатор (задний, левый) - замена"
"амортизатор (задний, левый) - замена (2wd)"
"амортизатор (задний, левый) - снятие и установка (2wd)"
"амортизатор (задний, правый) - замена"
"амортизатор (передний, левый) - замена"
"амортизатор (передний, правый) - замена"
амортизатор задний внедорожники каптива/антара снятие/установка
амортизатор задний лев. - снятие/установка
амортизатор задний левый - замена
амортизатор задний левый - снятие/установка
амортизатор задний прав. - снятие/установка
амортизатор задний правый - замена
амортизатор задний правый - снятие/установка
амортизатор задний снятие/установка
амортизатор капота снятие/установка
амортизатор передний - снятие/установка
амортизатор передний лев - снятие/установка
амортизатор передний левый - замена
амортизатор передний прав - снятие/установка
амортизатор передний правый - замена
амортизатор передний правый - снятие/установка
амортизаторы (задняя ось) - заменить
амортизаторы (передняя ось) - снятие/установка
амортизаторы багажника заменить
амортизаторы задние - замена
амортизаторы капота - замена
амортизаторы крышки багажника - замена
антигравийная обработка
антифриз - проверка/корректировка
антифриз замена
аргонно-дуговая сварка
арматурные работы
багажник - частичная разборка
багажник разборка сборка
балансировка
балансировка 2х колес
балансировка 4-х колес
балансировка колес
балансировка колеса
балансировка колеса (без стоимости грузов)
балансировка колеса(без стоимости грузов)
бампер (задний) - снятие/установка
бампер (передний) - замена (снятие/установка)
бампер (передний) - снятие и установка
бампер (передний) - снятие и установка (стоимость переоборудования и окраска детали не включена)
бампер (передний) - снятие/установка
бампер - закрепить
бампер в сборе передний - снятие/установка
бампер задний - снятие/установка
бампер передний - ремонт
бампер передний - снятие/установка
барабан заднего тормоза (с одной стороны) снятие/установка
барабан тормозной (задний) - замена
батарея аккумуляторная - зарядка
батарея аккумуляторная - снятие/установка
бачок гидросистемы - заменить
бачок гур снятие/установка
бачок омывателя - снятие/установка
бачок омывателя снятие/установка
бачок расширительный - замена
бачок расширительный очистка
бачок расширительный снятие/установка
бачок системы охлаждения - заменить
бачок стеклоомывателя - заменить
блок abs прокачка тормозной системы
блок рожига головного света - диагностика
блок розжига ксенона - снятие/установка
"блок розжига, снятие/установка"
блок управления климатом снятие/установка
блок управления муфтой hadex снятие/установка при необходимости заменить
блок управления стеклоподъемниками - снятие/установка
блок фара - полировка
блок-фара (с одной стороны) снятие/установка
блок-фара - проверка силы и регулировка направления пучка света фар.
боковое зеркало заднего вида - снятие/установка
болт генератора - снятие/установка
брызговик задний левый - закрепление
брызговик колеса снятие/установка
"брызговики, установка"
"вал приводной (передний, правый) - замена"
"вал приводной (передний, правый) - снятие и установка"
"вал рулевой, снятие/установка"
вебасто -снятие
вентиль колеса- замена
вентилятор (мотор) отопителя - снятие/установка
вентилятор отопителя - заменить
вентилятор отопителя снятие/установка
"вентилятор отопителя, заменить"
вентилятор охлаждения - замена
вентилятор охлаждения двигатель - снятие/установка
вентилятор снятие/установка
верхние рычаги подвески сзади (оба)
верхние рычаги подвески спереди (оба)
верхний левый рычаг передней подвески заменить
"верхний правый поперечные рычаг подвески задней оси, заменить"
верхний рычаг подвески (с одной стороны) снятие/установка
воздушный фильтр (с одной стороны) снятие/установка
воздушный фильтр - воздушный фильтр: снятие/установка
воздушный фильтр - замена
впускной коллектор (рессивер) - снятие/установка
впускной коллектор - снятие
впускной коллектор - снятие и установка
впускной коллектор или коллектор снятие/установка
впускной коллектор снятие/установка
вскрытие капота
втулка переднего стабилизатора - замена
втулки заднего стабилизатора - замена
втулки заднего стабилизатора - снятие/установка
