0
выключатель стоп-сигнала снятие/установка
фильтр салона снятие/установка
датчик температуры охлаждающей жидкости снятие/установка
радиатор отопителя снятие/установка
датчик давления масла снятие/установка
колодка стояночного тормоза снятие/установка
задние тормозные диски+колодки(замена)
свеча зажигания регулировка
регулировка углов установки колес проверка
штанга заднего стабилизатора поперечной устойчивости снятие/установка
передний тормозной диск (с одной стороны) снятие/установка
кондиционер снятие/установка
радиатор снятие/установка
"воздушный фильтр, проверка"
"охладитель или кондиционер, замена/заправка"
передние тормозные диски+колодки(замена)
амортизатор багажника снятие/установка
ремень привода грм снятие/установка
слесарные работы
прокладка поддона картера или герметик (поддон картера №1) снятие/установка
задний сальник коленчатого вала (мкп) снятие/установка
эбу двигателя снятие/установка
поиск неисправности
опорный ролик проверка
датчик парктроника задний
"двигатель, регулировка"
"охлаждающая жидкость, замена/заправка"
"тормозная жидкость, замена/прокачка"
генератор ремонт
нижний рычаг подвески (с одной стороны) снятие/установка
"балансировка двух колес, колеса снятие/установка."
лампа фары (с одной стороны) снятие/установка
обивка крыши снятие/установка
регулировка развал-схождение
замок капота снятие/установка
катушка зажигания (одна) снятие/установка
приводной ремень регулировка
термостат снятие/установка
передний динамик (с одной стороны) снятие/установка
переборка стеклоподъемника
передний стабилизатор поперечной устойчивости снятие/установка
лампа заднего блока фонарей (с одной стороны) снятие/установка
передний амортизатор (с одной стороны) снятие/установка
датчик давления колеса - снятие/установка.
ремонт электрики
топливный бак снятие/установка
раздаточная коробка снятие/установка
передний амортизатор (регулировка развала) снятие/установка
задний тормозной диск (с одной стороны) снятие/установка
блок управления магнитолой (на руле) снятие/установка
амортизатор капота снятие/установка
сальник заднего карданного вала раздаточной коробки
подушка задней опоры двигателя снятие/установка
передний сальник коленчатого вала снятие/установка
щетка заднего стеклоочистителя снятие/установка
тнвд снятие/установка
карданный вал снятие/установка
программирование брелка
"тормозная система (один контур), прокачка"
стартер снятие/установка
электровакуумный клапан снятие/установка
масляный фильтр снятие/установка
"стояночный тормоз, регулировка"
сальник переднего приводного вала снятие/установка
лампа противотуманной фары (с одной стороны) снятие/установка
аккумуляторная батарея (одна) проверка
тяга рулевая снятие/установка
приемная труба снятие/установка
резистор вентилятора снятие/установка
задний рабочий тормозной цилиндр (с одной стороны) снятие/установка
амортизатор задний (с одной стороны) снятие/установка
накладка порога задней двери (с одной стороны) снятие/установка
передний подкрылок (с одной стороны) снятие/установка
механизм выбора и переключения передач снятие/установка
блок управления отопителем снятие/установка
замена вентилятора отопителя
наконечник рулевой тяги (с одной стороны) снятие/установка
рычаг заднего стеклоочистителя снятие/установка
задний подшипник снятие/установка
трубки кондиционера снятие/установка
насос системы охлаждения и/или прокладка снятие/установка
привод передней подвески (с одной стороны) снятие/установка
сальник полуоси (с одной стороны) снятие/установка
сальник переднего правого приводного вала снятие/установка
звуковой сигнал (все) снятие/установка
двигатель со сцеплением в сборе снятие/установка
корпус дроссельной заслонки и/или прокладка снятие/установка
фонарь противотуманного фонаря - замена
шланг системы охлаждения (один) снятие/установка
рабочий цилиндр сцепления снятие/установка
вакуумный насос снятие/установка
привод сцепления снятие/установка
крышка багажника снятие/установка
двойной главный цилиндр снятие/установка
лампа повторителя указателя поворота (с одной стороны) снятие/установка
блок управления абс снятие/установка
насос гидроусилителя снятие/установка
актуатор abs
датчик уровня топлива снятие/установка
замок двери багажника снятие/установка
лампа фонаря заднего хода (с одной стороны) снятие/установка
задний сальник коленчатого вала (акп) снятие/установка
электрический топливный насос снятие/установка
замена топливной форсунки
датчик скорости колеса снятие/установка
переключатель режимов снятие/установка
каталитический нейтрализатор отработавших газов снятие/установка
поддон картера №1 снятие/установка
интеркулер снятие/установка
прокладка выхлопной трубы снятие/установка
подшипник промежуточного вала и/или промежуточный вал снятие/установка
вакуумная помпа. замена.
рычаг задней подвески (с одной стороны) снятие/установка
бачок омывателя ветрового стекла снятие/установка
передняя часть троса привода стояночного тормоза снятие/установка
вал рулевой снятие/установка
перепрограмирование эбу
выпускной коллектор (левого ряда) снятие/установка
впускной коллектор или коллектор снятие/установка
тяга стеклоочистителя ветрового стекла снятие/установка
решетка радиатора снятие/установка
сальник картера снятие/установка
топливная трубка высокого давления (одна) снятие/установка
топливные форсунки снятие/установка
кнопка замка задней двери снятие/установка
трос механизма переключения передач снятие/установка
блок цилиндров (снятие/установка коленчатого вала) снятие/установка
брызговик (все) снятие/установка
датчик положения паркинга/нейтрали снятие/установка
выходной патрубок системы охлаждения и/или прокладка снятие/установка
перчаточный ящик снятие/установка
корпус дифференциала снятие/установка
рулевое колесо снятие/установка
лампа плафона освещения салона (одна) снятие/установка
глушитель снятие/установка
"привод сцепления, прокачка"
рулевая рейка в сборе . замена.
сальник переднего приводного вала (с одной стороны) снятие/установка
кронштейн крепления запасного колеса снятие/установка
сальник переднего левого приводного вала снятие/установка
крестовина карданного шарнира (одна) снятие/установка
установка сигнализации
солнцезащитный козырек снятие/установка
лампа подсветки перчаточного ящика снятие/установка
рулевая колонка снятие/установка
задний подшипник первичного вала снятие/установка
подшипник и/или вилка выключения сцепления снятие/установка
личинка замка зажигания и ключ снятие/установка
панель приборов снятие/установка
блок цилиндров снятие/установка
верхний рычаг подвески (с одной стороны) включая снятие и установку
верхний рычаг подвески (с одной стороны) снятие/установка
натяжитель цепи или ремня снятие/установка
головка блока цилиндров (и всех клапанов) снятие/установка.
плафон освещения салона (один) снятие/установка
корзина сцепления снятие/установка
испаритель снятие/установка
обслуживание суппортов
свеча зажигания (все) снятие/установка
прокладка крышки головки блока цилиндров снятие/установка
антенна навигационной системы снятие/установка
ступица заднего колеса с подшипником (с одной стороны) снятие/установка
суппорт заднего дискового тормоза (с одной стороны) ремонт
"подшипник ступицы переднего колеса (с дисковым тормозом, с одной стороны) снятие/установка"
переднее крыло (с одной стороны) снятие/установка
фара (с одной стороны) снятие/установка
воздушный фильтр (с одной стороны) снятие/установка
опорный ролик ремня привода грм снятие/установка
замок задней двери (с одной стороны) снятие/установка
замок передней двери (с одной стороны) снятие/установка
замена приводного ремня
суппорт переднего дискового тормоза (с одной стороны) ремонт
вискомуфта снятие/установка
"поворотный кулак (с дисковым тормозом, с одной стороны) снятие/установка"
рулевая тяга (с одной стороны) снятие/установка
верхний рычаг задней подвески (с одной стороны) снятие/установка
барабан заднего тормоза (с одной стороны) снятие/установка
задний блок фонарей (с одной стороны) снятие/установка
